Orthographic,Phonemic,Orthographic_Unicode,Phoneme_Unicode
뻬,p͈e,U+BEEC,U+0070 U+0348 U+0065
뻰,p͈en,U+BEF0,U+0070 U+0348 U+0065 U+006E
뼁,p͈eŋ,U+BF01,U+0070 U+0348 U+0065 U+014B
뼈,p͈jʌ,U+BF08,U+0070 U+0348 U+006A U+028C
뼉,p͈jʌk,U+BF09,U+0070 U+0348 U+006A U+028C U+006B
뼘,p͈jʌm,U+BF18,U+0070 U+0348 U+006A U+028C U+006D
뼛,p͈jʌs,U+BF1B,U+0070 U+0348 U+006A U+028C U+0073
뽀,p͈o,U+BF40,U+0070 U+0348 U+006F
뽁,p͈ok,U+BF41,U+0070 U+0348 U+006F U+006B
뽄,p͈on,U+BF44,U+0070 U+0348 U+006F U+006E
뽈,p͈ol,U+BF48,U+0070 U+0348 U+006F U+006C
뽐,p͈om,U+BF50,U+0070 U+0348 U+006F U+006D
뽑,p͈op,U+BF51,U+0070 U+0348 U+006F U+0070
뽕,p͈oŋ,U+BF55,U+0070 U+0348 U+006F U+014B
뾰,p͈jo,U+BFB0,U+0070 U+0348 U+006A U+006F
뿅,p͈joŋ,U+BFC5,U+0070 U+0348 U+006A U+006F U+014B
뿌,p͈u,U+BFCC,U+0070 U+0348 U+0075
뿍,p͈uk,U+BFCD,U+0070 U+0348 U+0075 U+006B
뿐,p͈un,U+BFD0,U+0070 U+0348 U+0075 U+006E
뿔,p͈ul,U+BFD4,U+0070 U+0348 U+0075 U+006C
뿜,p͈um,U+BFDC,U+0070 U+0348 U+0075 U+006D
뿟,p͈us,U+BFDF,U+0070 U+0348 U+0075 U+0073
뿡,p͈uŋ,U+BFE1,U+0070 U+0348 U+0075 U+014B
쀼,p͈ju,U+C03C,U+0070 U+0348 U+006A U+0075
쁘,p͈ɨ,U+C058,U+0070 U+0348 U+0268
쁜,p͈ɨn,U+C05C,U+0070 U+0348 U+0268 U+006E
쁠,p͈ɨl,U+C060,U+0070 U+0348 U+0268 U+006C
쁨,p͈ɨm,U+C068,U+0070 U+0348 U+0268 U+006D
삐,p͈i,U+C090,U+0070 U+0348 U+0069
삑,p͈ik,U+C091,U+0070 U+0348 U+0069 U+006B
삔,p͈in,U+C094,U+0070 U+0348 U+0069 U+006E
삘,p͈il,U+C098,U+0070 U+0348 U+0069 U+006C
삡,p͈ip,U+C0A1,U+0070 U+0348 U+0069 U+0070
삥,p͈iŋ,U+C0A5,U+0070 U+0348 U+0069 U+014B
사,sa,U+C0AC,U+0073 U+0061
삭,sak,U+C0AD,U+0073 U+0061 U+006B
삯,saks,U+C0AF,U+0073 U+0061 U+006B U+0073
산,san,U+C0B0,U+0073 U+0061 U+006E
살,sal,U+C0B4,U+0073 U+0061 U+006C
삵,salk,U+C0B5,U+0073 U+0061 U+006C U+006B
삶,salm,U+C0B6,U+0073 U+0061 U+006C U+006D
삼,sam,U+C0BC,U+0073 U+0061 U+006D
삽,sap,U+C0BD,U+0073 U+0061 U+0070
삿,sas,U+C0BF,U+0073 U+0061 U+0073
상,saŋ,U+C0C1,U+0073 U+0061 U+014B
샅,satʰ,U+C0C5,U+0073 U+0061 U+0074 U+02B0
새,sɛ,U+C0C8,U+0073 U+025B
색,sɛk,U+C0C9,U+0073 U+025B U+006B
샌,sɛn,U+C0CC,U+0073 U+025B U+006E
샐,sɛl,U+C0D0,U+0073 U+025B U+006C
샘,sɛm,U+C0D8,U+0073 U+025B U+006D
샙,sɛp,U+C0D9,U+0073 U+025B U+0070
샛,sɛs,U+C0DB,U+0073 U+025B U+0073
생,sɛŋ,U+C0DD,U+0073 U+025B U+014B
샤,sja,U+C0E4,U+0073 U+006A U+0061
샨,sjan,U+C0E8,U+0073 U+006A U+0061 U+006E
샬,sjal,U+C0EC,U+0073 U+006A U+0061 U+006C
샴,sjam,U+C0F4,U+0073 U+006A U+0061 U+006D
샷,sjas,U+C0F7,U+0073 U+006A U+0061 U+0073
샹,sjaŋ,U+C0F9,U+0073 U+006A U+0061 U+014B
섀,sjɛ,U+C100,U+0073 U+006A U+025B
서,sʌ,U+C11C,U+0073 U+028C
석,sʌk,U+C11D,U+0073 U+028C U+006B
섞,sʌk͈,U+C11E,U+0073 U+028C U+006B U+0348
섟,sʌks,U+C11F,U+0073 U+028C U+006B U+0073
선,sʌn,U+C120,U+0073 U+028C U+006E
섣,sʌt,U+C123,U+0073 U+028C U+0074
설,sʌl,U+C124,U+0073 U+028C U+006C
섧,sʌlp,U+C127,U+0073 U+028C U+006C U+0070
섬,sʌm,U+C12C,U+0073 U+028C U+006D
섭,sʌp,U+C12D,U+0073 U+028C U+0070
섯,sʌs,U+C12F,U+0073 U+028C U+0073
섰,sʌs͈,U+C130,U+0073 U+028C U+0073 U+0348
성,sʌŋ,U+C131,U+0073 U+028C U+014B
섶,sʌpʰ,U+C136,U+0073 U+028C U+0070 U+02B0
세,se,U+C138,U+0073 U+0065
섹,sek,U+C139,U+0073 U+0065 U+006B
센,sen,U+C13C,U+0073 U+0065 U+006E
셀,sel,U+C140,U+0073 U+0065 U+006C
셈,sem,U+C148,U+0073 U+0065 U+006D
셉,sep,U+C149,U+0073 U+0065 U+0070
셋,ses,U+C14B,U+0073 U+0065 U+0073
셍,seŋ,U+C14D,U+0073 U+0065 U+014B
셔,sjʌ,U+C154,U+0073 U+006A U+028C
션,sjʌn,U+C158,U+0073 U+006A U+028C U+006E
셜,sjʌl,U+C15C,U+0073 U+006A U+028C U+006C
셤,sjʌm,U+C164,U+0073 U+006A U+028C U+006D
셧,sjʌs,U+C167,U+0073 U+006A U+028C U+0073
셰,sje,U+C170,U+0073 U+006A U+0065
셴,sjen,U+C174,U+0073 U+006A U+0065 U+006E
셸,sjel,U+C178,U+0073 U+006A U+0065 U+006C
솁,sjep,U+C181,U+0073 U+006A U+0065 U+0070
소,so,U+C18C,U+0073 U+006F
속,sok,U+C18D,U+0073 U+006F U+006B
솎,sok͈,U+C18E,U+0073 U+006F U+006B U+0348
손,son,U+C190,U+0073 U+006F U+006E
솔,sol,U+C194,U+0073 U+006F U+006C
솜,som,U+C19C,U+0073 U+006F U+006D
솝,sop,U+C19D,U+0073 U+006F U+0070
솟,sos,U+C19F,U+0073 U+006F U+0073
송,soŋ,U+C1A1,U+0073 U+006F U+014B
솥,sotʰ,U+C1A5,U+0073 U+006F U+0074 U+02B0
솨,swa,U+C1A8,U+0073 U+0077 U+0061
솰,swal,U+C1B0,U+0073 U+0077 U+0061 U+006C
솽,swaŋ,U+C1BD,U+0073 U+0077 U+0061 U+014B
쇄,swɛ,U+C1C4,U+0073 U+0077 U+025B
쇠,sø,U+C1E0,U+0073 U+00F8
쇤,søn,U+C1E4,U+0073 U+00F8 U+006E
쇰,søm,U+C1F0,U+0073 U+00F8 U+006D
쇳,søs,U+C1F3,U+0073 U+00F8 U+0073
쇼,sjo,U+C1FC,U+0073 U+006A U+006F
숀,sjon,U+C200,U+0073 U+006A U+006F U+006E
숄,sjol,U+C204,U+0073 U+006A U+006F U+006C
숍,sjop,U+C20D,U+0073 U+006A U+006F U+0070
숏,sjos,U+C20F,U+0073 U+006A U+006F U+0073
숑,sjoŋ,U+C211,U+0073 U+006A U+006F U+014B
수,su,U+C218,U+0073 U+0075
숙,suk,U+C219,U+0073 U+0075 U+006B
순,sun,U+C21C,U+0073 U+0075 U+006E
숟,sut,U+C21F,U+0073 U+0075 U+0074
술,sul,U+C220,U+0073 U+0075 U+006C
숨,sum,U+C228,U+0073 U+0075 U+006D
숩,sup,U+C229,U+0073 U+0075 U+0070
숫,sus,U+C22B,U+0073 U+0075 U+0073
숭,suŋ,U+C22D,U+0073 U+0075 U+014B
숯,sutʃʰ,U+C22F,U+0073 U+0075 U+0074 U+0283 U+02B0
숱,sutʰ,U+C231,U+0073 U+0075 U+0074 U+02B0
숲,supʰ,U+C232,U+0073 U+0075 U+0070 U+02B0
숴,swʌ,U+C234,U+0073 U+0077 U+028C
쉐,swe,U+C250,U+0073 U+0077 U+0065
쉥,sweŋ,U+C265,U+0073 U+0077 U+0065 U+014B
쉬,swi,U+C26C,U+0073 U+0077 U+0069
쉭,swik,U+C26D,U+0073 U+0077 U+0069 U+006B
쉰,swin,U+C270,U+0073 U+0077 U+0069 U+006E
쉴,swil,U+C274,U+0073 U+0077 U+0069 U+006C
쉼,swim,U+C27C,U+0073 U+0077 U+0069 U+006D
쉽,swip,U+C27D,U+0073 U+0077 U+0069 U+0070
슁,swiŋ,U+C281,U+0073 U+0077 U+0069 U+014B
슈,sju,U+C288,U+0073 U+006A U+0075
슐,sjul,U+C290,U+0073 U+006A U+0075 U+006C
슘,sjum,U+C298,U+0073 U+006A U+0075 U+006D
슛,sjus,U+C29B,U+0073 U+006A U+0075 U+0073
슝,sjuŋ,U+C29D,U+0073 U+006A U+0075 U+014B
스,sɨ,U+C2A4,U+0073 U+0268
슥,sɨk,U+C2A5,U+0073 U+0268 U+006B
슨,sɨn,U+C2A8,U+0073 U+0268 U+006E
슬,sɨl,U+C2AC,U+0073 U+0268 U+006C
슭,sɨlk,U+C2AD,U+0073 U+0268 U+006C U+006B
슴,sɨm,U+C2B4,U+0073 U+0268 U+006D
습,sɨp,U+C2B5,U+0073 U+0268 U+0070
슷,sɨs,U+C2B7,U+0073 U+0268 U+0073
승,sɨŋ,U+C2B9,U+0073 U+0268 U+014B
시,si,U+C2DC,U+0073 U+0069
식,sik,U+C2DD,U+0073 U+0069 U+006B
신,sin,U+C2E0,U+0073 U+0069 U+006E
싣,sit,U+C2E3,U+0073 U+0069 U+0074
실,sil,U+C2E4,U+0073 U+0069 U+006C
싫,silh,U+C2EB,U+0073 U+0069 U+006C U+0068
심,sim,U+C2EC,U+0073 U+0069 U+006D
십,sip,U+C2ED,U+0073 U+0069 U+0070
싯,sis,U+C2EF,U+0073 U+0069 U+0073
싱,siŋ,U+C2F1,U+0073 U+0069 U+014B
싶,sipʰ,U+C2F6,U+0073 U+0069 U+0070 U+02B0
싸,s͈a,U+C2F8,U+0073 U+0348 U+0061
싹,s͈ak,U+C2F9,U+0073 U+0348 U+0061 U+006B
싼,s͈an,U+C2FC,U+0073 U+0348 U+0061 U+006E
쌀,s͈al,U+C300,U+0073 U+0348 U+0061 U+006C
쌈,s͈am,U+C308,U+0073 U+0348 U+0061 U+006D
쌉,s͈ap,U+C309,U+0073 U+0348 U+0061 U+0070
쌍,s͈aŋ,U+C30D,U+0073 U+0348 U+0061 U+014B
쌓,s͈ah,U+C313,U+0073 U+0348 U+0061 U+0068
쌔,s͈ɛ,U+C314,U+0073 U+0348 U+025B
쌕,s͈ɛk,U+C315,U+0073 U+0348 U+025B U+006B
쌘,s͈ɛn,U+C318,U+0073 U+0348 U+025B U+006E
쌜,s͈ɛl,U+C31C,U+0073 U+0348 U+025B U+006C
쌤,s͈ɛm,U+C324,U+0073 U+0348 U+025B U+006D
쌩,s͈ɛŋ,U+C329,U+0073 U+0348 U+025B U+014B
써,s͈ʌ,U+C368,U+0073 U+0348 U+028C
썩,s͈ʌk,U+C369,U+0073 U+0348 U+028C U+006B
썰,s͈ʌl,U+C370,U+0073 U+0348 U+028C U+006C
썸,s͈ʌm,U+C378,U+0073 U+0348 U+028C U+006D
썹,s͈ʌp,U+C379,U+0073 U+0348 U+028C U+0070
썽,s͈ʌŋ,U+C37D,U+0073 U+0348 U+028C U+014B
쎄,s͈e,U+C384,U+0073 U+0348 U+0065
쏘,s͈o,U+C3D8,U+0073 U+0348 U+006F
쏙,s͈ok,U+C3D9,U+0073 U+0348 U+006F U+006B
쏜,s͈on,U+C3DC,U+0073 U+0348 U+006F U+006E
쏟,s͈ot,U+C3DF,U+0073 U+0348 U+006F U+0074
쏠,s͈ol,U+C3E0,U+0073 U+0348 U+006F U+006C
쏨,s͈om,U+C3E8,U+0073 U+0348 U+006F U+006D
쏭,s͈oŋ,U+C3ED,U+0073 U+0348 U+006F U+014B
쏴,s͈wa,U+C3F4,U+0073 U+0348 U+0077 U+0061
쏼,s͈wal,U+C3FC,U+0073 U+0348 U+0077 U+0061 U+006C
쐐,s͈wɛ,U+C410,U+0073 U+0348 U+0077 U+025B
쐬,s͈ø,U+C42C,U+0073 U+0348 U+00F8
쑈,s͈jo,U+C448,U+0073 U+0348 U+006A U+006F
쑤,s͈u,U+C464,U+0073 U+0348 U+0075
쑥,s͈uk,U+C465,U+0073 U+0348 U+0075 U+006B
쑨,s͈un,U+C468,U+0073 U+0348 U+0075 U+006E
쑬,s͈ul,U+C46C,U+0073 U+0348 U+0075 U+006C
쑴,s͈um,U+C474,U+0073 U+0348 U+0075 U+006D
쑵,s͈up,U+C475,U+0073 U+0348 U+0075 U+0070
쑷,s͈us,U+C477,U+0073 U+0348 U+0075 U+0073
쑹,s͈uŋ,U+C479,U+0073 U+0348 U+0075 U+014B
쓰,s͈ɨ,U+C4F0,U+0073 U+0348 U+0268
쓱,s͈ɨk,U+C4F1,U+0073 U+0348 U+0268 U+006B
쓴,s͈ɨn,U+C4F4,U+0073 U+0348 U+0268 U+006E
쓸,s͈ɨl,U+C4F8,U+0073 U+0348 U+0268 U+006C
쓿,s͈ɨlh,U+C4FF,U+0073 U+0348 U+0268 U+006C U+0068
씀,s͈ɨm,U+C500,U+0073 U+0348 U+0268 U+006D
씁,s͈ɨp,U+C501,U+0073 U+0348 U+0268 U+0070
씃,s͈ɨs,U+C503,U+0073 U+0348 U+0268 U+0073
씌,s͈ɨi,U+C50C,U+0073 U+0348 U+0268 U+0069
씨,s͈i,U+C528,U+0073 U+0348 U+0069
씩,s͈ik,U+C529,U+0073 U+0348 U+0069 U+006B
씬,s͈in,U+C52C,U+0073 U+0348 U+0069 U+006E
씰,s͈il,U+C530,U+0073 U+0348 U+0069 U+006C
씸,s͈im,U+C538,U+0073 U+0348 U+0069 U+006D
씹,s͈ip,U+C539,U+0073 U+0348 U+0069 U+0070
씻,s͈is,U+C53B,U+0073 U+0348 U+0069 U+0073
씽,s͈iŋ,U+C53D,U+0073 U+0348 U+0069 U+014B
씿,s͈itʃʰ,U+C53F,U+0073 U+0348 U+0069 U+0074 U+0283 U+02B0
아,a,U+C544,U+0061
악,ak,U+C545,U+0061 U+006B
안,an,U+C548,U+0061 U+006E
앉,antʃ,U+C549,U+0061 U+006E U+0074 U+0283
않,anh,U+C54A,U+0061 U+006E U+0068
알,al,U+C54C,U+0061 U+006C
앍,alk,U+C54D,U+0061 U+006C U+006B
앎,alm,U+C54E,U+0061 U+006C U+006D
앓,alh,U+C553,U+0061 U+006C U+0068
암,am,U+C554,U+0061 U+006D
압,ap,U+C555,U+0061 U+0070
앗,as,U+C557,U+0061 U+0073
앙,aŋ,U+C559,U+0061 U+014B
앝,atʰ,U+C55D,U+0061 U+0074 U+02B0
앞,apʰ,U+C55E,U+0061 U+0070 U+02B0
애,ɛ,U+C560,U+025B
액,ɛk,U+C561,U+025B U+006B
앤,ɛn,U+C564,U+025B U+006E
앨,ɛl,U+C568,U+025B U+006C
앰,ɛm,U+C570,U+025B U+006D
앱,ɛp,U+C571,U+025B U+0070
앳,ɛs,U+C573,U+025B U+0073
앵,ɛŋ,U+C575,U+025B U+014B
야,ja,U+C57C,U+006A U+0061
약,jak,U+C57D,U+006A U+0061 U+006B
얀,jan,U+C580,U+006A U+0061 U+006E
얄,jal,U+C584,U+006A U+0061 U+006C
얇,jalp,U+C587,U+006A U+0061 U+006C U+0070
얌,jam,U+C58C,U+006A U+0061 U+006D
얍,jap,U+C58D,U+006A U+0061 U+0070
얏,jas,U+C58F,U+006A U+0061 U+0073
양,jaŋ,U+C591,U+006A U+0061 U+014B
얕,jatʰ,U+C595,U+006A U+0061 U+0074 U+02B0
얗,jah,U+C597,U+006A U+0061 U+0068
얘,jɛ,U+C598,U+006A U+025B
어,ʌ,U+C5B4,U+028C
억,ʌk,U+C5B5,U+028C U+006B
언,ʌn,U+C5B8,U+028C U+006E
얹,ʌntʃ,U+C5B9,U+028C U+006E U+0074 U+0283
얻,ʌt,U+C5BB,U+028C U+0074
얼,ʌl,U+C5BC,U+028C U+006C
얽,ʌlk,U+C5BD,U+028C U+006C U+006B
엄,ʌm,U+C5C4,U+028C U+006D
업,ʌp,U+C5C5,U+028C U+0070
없,ʌps,U+C5C6,U+028C U+0070 U+0073
엇,ʌs,U+C5C7,U+028C U+0073
엉,ʌŋ,U+C5C9,U+028C U+014B
엊,ʌtʃ,U+C5CA,U+028C U+0074 U+0283
엌,ʌkʰ,U+C5CC,U+028C U+006B U+02B0
엎,ʌpʰ,U+C5CE,U+028C U+0070 U+02B0
에,e,U+C5D0,U+0065
엑,ek,U+C5D1,U+0065 U+006B
엔,en,U+C5D4,U+0065 U+006E
엘,el,U+C5D8,U+0065 U+006C
엠,em,U+C5E0,U+0065 U+006D
엡,ep,U+C5E1,U+0065 U+0070
엣,es,U+C5E3,U+0065 U+0073
엥,eŋ,U+C5E5,U+0065 U+014B
여,jʌ,U+C5EC,U+006A U+028C
역,jʌk,U+C5ED,U+006A U+028C U+006B
엮,jʌk͈,U+C5EE,U+006A U+028C U+006B U+0348
연,jʌn,U+C5F0,U+006A U+028C U+006E
엳,jʌt,U+C5F3,U+006A U+028C U+0074
열,jʌl,U+C5F4,U+006A U+028C U+006C
엷,jʌlp,U+C5F7,U+006A U+028C U+006C U+0070
염,jʌm,U+C5FC,U+006A U+028C U+006D
엽,jʌp,U+C5FD,U+006A U+028C U+0070
엾,jʌps,U+C5FE,U+006A U+028C U+0070 U+0073
엿,jʌs,U+C5FF,U+006A U+028C U+0073
영,jʌŋ,U+C601,U+006A U+028C U+014B
옅,jʌtʰ,U+C605,U+006A U+028C U+0074 U+02B0
옆,jʌpʰ,U+C606,U+006A U+028C U+0070 U+02B0
옇,jʌh,U+C607,U+006A U+028C U+0068
예,je,U+C608,U+006A U+0065
옌,jen,U+C60C,U+006A U+0065 U+006E
옐,jel,U+C610,U+006A U+0065 U+006C
옙,jep,U+C619,U+006A U+0065 U+0070
옛,jes,U+C61B,U+006A U+0065 U+0073
오,o,U+C624,U+006F
옥,ok,U+C625,U+006F U+006B
온,on,U+C628,U+006F U+006E
올,ol,U+C62C,U+006F U+006C
옭,olk,U+C62D,U+006F U+006C U+006B
옮,olm,U+C62E,U+006F U+006C U+006D
옰,ols,U+C630,U+006F U+006C U+0073
옳,olh,U+C633,U+006F U+006C U+0068
옴,om,U+C634,U+006F U+006D
옵,op,U+C635,U+006F U+0070
옷,os,U+C637,U+006F U+0073
옹,oŋ,U+C639,U+006F U+014B
옻,otʃʰ,U+C63B,U+006F U+0074 U+0283 U+02B0
와,wa,U+C640,U+0077 U+0061
왁,wak,U+C641,U+0077 U+0061 U+006B
완,wan,U+C644,U+0077 U+0061 U+006E
왈,wal,U+C648,U+0077 U+0061 U+006C
왓,was,U+C653,U+0077 U+0061 U+0073
왕,waŋ,U+C655,U+0077 U+0061 U+014B
왜,wɛ,U+C65C,U+0077 U+025B
왝,wɛk,U+C65D,U+0077 U+025B U+006B
왠,wɛn,U+C660,U+0077 U+025B U+006E
왱,wɛŋ,U+C671,U+0077 U+025B U+014B
외,ø,U+C678,U+00F8
왹,øk,U+C679,U+00F8 U+006B
왼,øn,U+C67C,U+00F8 U+006E
욀,øl,U+C680,U+00F8 U+006C
욋,øs,U+C68B,U+00F8 U+0073
욍,øŋ,U+C68D,U+00F8 U+014B
요,jo,U+C694,U+006A U+006F
욕,jok,U+C695,U+006A U+006F U+006B
욘,jon,U+C698,U+006A U+006F U+006E
욜,jol,U+C69C,U+006A U+006F U+006C
욤,jom,U+C6A4,U+006A U+006F U+006D
욥,jop,U+C6A5,U+006A U+006F U+0070
욧,jos,U+C6A7,U+006A U+006F U+0073
용,joŋ,U+C6A9,U+006A U+006F U+014B
우,u,U+C6B0,U+0075
욱,uk,U+C6B1,U+0075 U+006B
운,un,U+C6B4,U+0075 U+006E
욷,ut,U+C6B7,U+0075 U+0074
울,ul,U+C6B8,U+0075 U+006C
욹,ulk,U+C6B9,U+0075 U+006C U+006B
움,um,U+C6C0,U+0075 U+006D
웁,up,U+C6C1,U+0075 U+0070
웃,us,U+C6C3,U+0075 U+0073
웅,uŋ,U+C6C5,U+0075 U+014B
웇,utʃʰ,U+C6C7,U+0075 U+0074 U+0283 U+02B0
워,wʌ,U+C6CC,U+0077 U+028C
웍,wʌk,U+C6CD,U+0077 U+028C U+006B
원,wʌn,U+C6D0,U+0077 U+028C U+006E
월,wʌl,U+C6D4,U+0077 U+028C U+006C
웜,wʌm,U+C6DC,U+0077 U+028C U+006D
웡,wʌŋ,U+C6E1,U+0077 U+028C U+014B
웨,we,U+C6E8,U+0077 U+0065
웩,wek,U+C6E9,U+0077 U+0065 U+006B
웬,wen,U+C6EC,U+0077 U+0065 U+006E
웰,wel,U+C6F0,U+0077 U+0065 U+006C
웹,wep,U+C6F9,U+0077 U+0065 U+0070
웽,weŋ,U+C6FD,U+0077 U+0065 U+014B
위,wi,U+C704,U+0077 U+0069
윅,wik,U+C705,U+0077 U+0069 U+006B
윈,win,U+C708,U+0077 U+0069 U+006E
윌,wil,U+C70C,U+0077 U+0069 U+006C
윔,wim,U+C714,U+0077 U+0069 U+006D
윕,wip,U+C715,U+0077 U+0069 U+0070
윗,wis,U+C717,U+0077 U+0069 U+0073
윙,wiŋ,U+C719,U+0077 U+0069 U+014B
유,ju,U+C720,U+006A U+0075
육,juk,U+C721,U+006A U+0075 U+006B
윤,jun,U+C724,U+006A U+0075 U+006E
율,jul,U+C728,U+006A U+0075 U+006C
윰,jum,U+C730,U+006A U+0075 U+006D
윳,jus,U+C733,U+006A U+0075 U+0073
융,juŋ,U+C735,U+006A U+0075 U+014B
윷,jutʃʰ,U+C737,U+006A U+0075 U+0074 U+0283 U+02B0
으,ɨ,U+C73C,U+0268
윽,ɨk,U+C73D,U+0268 U+006B
은,ɨn,U+C740,U+0268 U+006E
읃,ɨt,U+C743,U+0268 U+0074
을,ɨl,U+C744,U+0268 U+006C
읊,ɨlpʰ,U+C74A,U+0268 U+006C U+0070 U+02B0
음,ɨm,U+C74C,U+0268 U+006D
읍,ɨp,U+C74D,U+0268 U+0070
읏,ɨs,U+C74F,U+0268 U+0073
응,ɨŋ,U+C751,U+0268 U+014B
읒,ɨtʃ,U+C752,U+0268 U+0074 U+0283
읓,ɨtʃʰ,U+C753,U+0268 U+0074 U+0283 U+02B0
읔,ɨkʰ,U+C754,U+0268 U+006B U+02B0
읕,ɨtʰ,U+C755,U+0268 U+0074 U+02B0
읖,ɨpʰ,U+C756,U+0268 U+0070 U+02B0
읗,ɨh,U+C757,U+0268 U+0068
의,ɨi,U+C758,U+0268 U+0069
읫,ɨis,U+C76B,U+0268 U+0069 U+0073
이,i,U+C774,U+0069
익,ik,U+C775,U+0069 U+006B
인,in,U+C778,U+0069 U+006E
일,il,U+C77C,U+0069 U+006C
읽,ilk,U+C77D,U+0069 U+006C U+006B
잃,ilh,U+C783,U+0069 U+006C U+0068
임,im,U+C784,U+0069 U+006D
입,ip,U+C785,U+0069 U+0070
잇,is,U+C787,U+0069 U+0073
있,is͈,U+C788,U+0069 U+0073 U+0348
잉,iŋ,U+C789,U+0069 U+014B
잊,itʃ,U+C78A,U+0069 U+0074 U+0283
잎,ipʰ,U+C78E,U+0069 U+0070 U+02B0
자,tʃa,U+C790,U+0074 U+0283 U+0061
작,tʃak,U+C791,U+0074 U+0283 U+0061 U+006B
잔,tʃan,U+C794,U+0074 U+0283 U+0061 U+006E
잖,tʃanh,U+C796,U+0074 U+0283 U+0061 U+006E U+0068
잗,tʃat,U+C797,U+0074 U+0283 U+0061 U+0074
잘,tʃal,U+C798,U+0074 U+0283 U+0061 U+006C
잠,tʃam,U+C7A0,U+0074 U+0283 U+0061 U+006D
잡,tʃap,U+C7A1,U+0074 U+0283 U+0061 U+0070
잣,tʃas,U+C7A3,U+0074 U+0283 U+0061 U+0073
장,tʃaŋ,U+C7A5,U+0074 U+0283 U+0061 U+014B
잦,tʃatʃ,U+C7A6,U+0074 U+0283 U+0061 U+0074 U+0283
재,tʃɛ,U+C7AC,U+0074 U+0283 U+025B
잭,tʃɛk,U+C7AD,U+0074 U+0283 U+025B U+006B
잰,tʃɛn,U+C7B0,U+0074 U+0283 U+025B U+006E
잴,tʃɛl,U+C7B4,U+0074 U+0283 U+025B U+006C
잼,tʃɛm,U+C7BC,U+0074 U+0283 U+025B U+006D
잽,tʃɛp,U+C7BD,U+0074 U+0283 U+025B U+0070
잿,tʃɛs,U+C7BF,U+0074 U+0283 U+025B U+0073
쟁,tʃɛŋ,U+C7C1,U+0074 U+0283 U+025B U+014B
저,tʃʌ,U+C800,U+0074 U+0283 U+028C
적,tʃʌk,U+C801,U+0074 U+0283 U+028C U+006B
전,tʃʌn,U+C804,U+0074 U+0283 U+028C U+006E
젇,tʃʌt,U+C807,U+0074 U+0283 U+028C U+0074
절,tʃʌl,U+C808,U+0074 U+0283 U+028C U+006C
젉,tʃʌlk,U+C809,U+0074 U+0283 U+028C U+006C U+006B
젊,tʃʌlm,U+C80A,U+0074 U+0283 U+028C U+006C U+006D
점,tʃʌm,U+C810,U+0074 U+0283 U+028C U+006D
접,tʃʌp,U+C811,U+0074 U+0283 U+028C U+0070
젓,tʃʌs,U+C813,U+0074 U+0283 U+028C U+0073
정,tʃʌŋ,U+C815,U+0074 U+0283 U+028C U+014B
젖,tʃʌtʃ,U+C816,U+0074 U+0283 U+028C U+0074 U+0283
제,tʃe,U+C81C,U+0074 U+0283 U+0065
젝,tʃek,U+C81D,U+0074 U+0283 U+0065 U+006B
젠,tʃen,U+C820,U+0074 U+0283 U+0065 U+006E
젤,tʃel,U+C824,U+0074 U+0283 U+0065 U+006C
젬,tʃem,U+C82C,U+0074 U+0283 U+0065 U+006D
젭,tʃep,U+C82D,U+0074 U+0283 U+0065 U+0070
젯,tʃes,U+C82F,U+0074 U+0283 U+0065 U+0073
젱,tʃeŋ,U+C831,U+0074 U+0283 U+0065 U+014B
져,tʃjʌ,U+C838,U+0074 U+0283 U+006A U+028C
졔,tʃje,U+C854,U+0074 U+0283 U+006A U+0065
조,tʃo,U+C870,U+0074 U+0283 U+006F
족,tʃok,U+C871,U+0074 U+0283 U+006F U+006B
존,tʃon,U+C874,U+0074 U+0283 U+006F U+006E
졸,tʃol,U+C878,U+0074 U+0283 U+006F U+006C
좀,tʃom,U+C880,U+0074 U+0283 U+006F U+006D
좁,tʃop,U+C881,U+0074 U+0283 U+006F U+0070
좃,tʃos,U+C883,U+0074 U+0283 U+006F U+0073
종,tʃoŋ,U+C885,U+0074 U+0283 U+006F U+014B
좆,tʃotʃ,U+C886,U+0074 U+0283 U+006F U+0074 U+0283
좇,tʃotʃʰ,U+C887,U+0074 U+0283 U+006F U+0074 U+0283 U+02B0
좋,tʃoh,U+C88B,U+0074 U+0283 U+006F U+0068
좌,tʃwa,U+C88C,U+0074 U+0283 U+0077 U+0061
좍,tʃwak,U+C88D,U+0074 U+0283 U+0077 U+0061 U+006B
좔,tʃwal,U+C894,U+0074 U+0283 U+0077 U+0061 U+006C
좡,tʃwaŋ,U+C8A1,U+0074 U+0283 U+0077 U+0061 U+014B
좨,tʃwɛ,U+C8A8,U+0074 U+0283 U+0077 U+025B
좽,tʃwɛŋ,U+C8BD,U+0074 U+0283 U+0077 U+025B U+014B
죄,tʃø,U+C8C4,U+0074 U+0283 U+00F8
죌,tʃøl,U+C8CC,U+0074 U+0283 U+00F8 U+006C
죔,tʃøm,U+C8D4,U+0074 U+0283 U+00F8 U+006D
죗,tʃøs,U+C8D7,U+0074 U+0283 U+00F8 U+0073
주,tʃu,U+C8FC,U+0074 U+0283 U+0075
죽,tʃuk,U+C8FD,U+0074 U+0283 U+0075 U+006B
준,tʃun,U+C900,U+0074 U+0283 U+0075 U+006E
